Telemetry GUID (Device+ParamName),"Device 
(CompClass)",Metric (ParamName),Description,"Category
,,,,,,,,,NA,NA,NA,NA,,,,,NA,NA,phy_received_bits,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,,,NA,NA,NA,,,,ES,,,QS,L0,L1,NA
,,,"Total number of packets received on the port that contain local physical errors (ICRC, VCRC, LPCRC, and all physical errors
 that cause entry into the BAD PACKET or BAD PACKET DISCARD states of the packet receiver state machine).",,,,,,NA,NA,NA,NA,,,,,NA,NA,PortLocalPhysicalErrors,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,1 Hr,,NA,NA,NA,,,,,,,QS,L1,L1,NA
,,,Count of errored block sync header on one or more lanes (Is it needed? Interesting counter? Maybe remove. ),,,,NA,,NA,NA,NA,NA,,,,,NA,NA,SyncHeaderErrorCounter,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,1 Hr,,NA,NA,NA,,,,,,,QS,L1,L1,NA
,,,Total number of packets received on the port that were discarded due to buffer overrun.,,,,NVML_FI_DEV_NVLINK_COUNT_BUFFER_OVERRUN_ERRORS,"nvidia-smi nvlink -e (""Buffer overrun Errors"")",DCGM_FI_DEV_NVLINK_COUNT_RX_BUFFER_OVERRUN_ERRORS:1205,NA,NA,NA,,,,,NA,NA,ExcessiveBufferOverrunErrors,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available,,,1 Hr,,NA,NA,NA,,,,,,,QS,L1,L1,NA
,,,The upper bound of present clock limits which supersede all in-band clock configurations,,,"NSM: (0x3, 0x11)",NA,NA,NA,"2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/System_{InstanceId}/Processors/GPU_{InstanceId}
{SpeedLimitMHz}",,,,,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,,Available OOB,Yes,No Impact,1 Hr,30,"2021.1c
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}
{SpeedLimitMHz}","2021.1c
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId
{SpeedLimitMHz}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,ES,,,,"L0, R1","L1, R1",NA
,,,"link active width:
 Bit 0: 1x
 Bit 1: 2x
 Bit 2: 4x",,,,,,,,NA,NA,,,,,NA,NA,"Link_width_active
",NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,10 Sec,,NA,NA,NA,,,,ES,,,QS,L0,L1,NA
,,,"Show some more info about the PHY state:
0:Disabled
1:Open_port
2:Polling
3:Active_or_Linkup
4:Close_port
5:Phy_up
7:Rx_disable",,,NA,NA,NA,NA,,NA,NA,,,,,NA,NA,Phy_Manager_State,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,10 Sec,,NA,NA,NA,,,,,,,QS,L1,L1,NA
,,,"Total number of packets marked with the EBP delimiter received on the port. EBP is a special kind of packet that indicates the end of a burst of packets. A burst is a sequence of packets sent in rapid succession. The use of EBP helps in flow control. By knowing the end of a burst, the receiving side can manage its buffers efficiently and ensure that packets are processed in order without dropping any due to buffer overruns.",,,,NVML_FI_DEV_NVLINK_COUNT_RCV_REMOTE_ERRORS,"nvidia-smi nvlink -e (""Rx remote Errors"")",DCGM_FI_DEV_NVLINK_COUNT_RX_REMOTE_ERRORS:1207,,NA,NA,,,,,NA,NA,PortRcvRemotePhysicalErrors,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,,,Available,,,,,NA,NA,NA,,,,,,,QS,L1,L1,NA
,,,Description of the link partner side (port that is connected to the port),,,,,,,,,,,,,,NA,NA,link_partner_description,,,,,NA,NA,NA,NA,Yes,,,,,,,,,,Available,,,#N/A,,,,,,,,,,,QS,L1,L1,NA
,,,GUID of the link partner side (port that is connected to the port),,,,,,,,,,,,,,NA,NA,link_partner_node_guid,,,,,NA,NA,NA,NA,Yes,,,,,,,,,,Available,,,#N/A,,,,,,,,,,,QS,L1,L1,NA
,,,LID of the link partner side (port that is connected to the port),,,,,,,,,,,,,,NA,NA,link_partner_lid,,,,,NA,NA,NA,NA,Yes,,,,,,,,,,Available,,,#N/A,,,,,,,,,,,QS,L1,L1,NA
,,,Port number of the link partner side (port that is connected to the port),,,,,,,,,,,,,,NA,NA,link_partner_port_num,,,,,NA,NA,NA,NA,Yes,,,,,,,,,,Available,,,#N/A,,,,,,,,,,,QS,L1,L1,NA
,,,RoT Firmware version,,,PLDM: pldmtool fw_update GetFwParams -m <eid>,NA,NA,NA,"2019.2
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_ERoT_GPU_SXM_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_ERoT_GPU_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/{GPU_RoT_FW_NAME}_{InstanceId}
{Version}",,,,,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,,Available OOB,No,No Impact,1 Hr,,"2019.2
/redfish/v1/UpdateService/FirmwareInventory/{GPU_RoT_FW_NAME}_{InstanceId}
{Version}","2019.2
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{Version}","{FwId: {Id_contains: {allOf: [GPU, RoT]}}}",,,Y,ES Factory,,,,"L0, R1","L1, R1",NA
,,,"GPU last reset type: PF-FLR, Conventional, non-fundamental, Fundamental (PERST#), IRoT reset",,,"NSM: 0x4, 0x0",NA,NA,NA,"2025.1
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_SXM_{InstanceId}/Oem/Nvidia/ProcessorResetMetrics
{LastResetType}","2025.1
/redfish/v1/Systems/HGX_Baseboard_{InstanceId}/Processors/GPU_{InstanceId}/Oem/Nvidia/ProcessorResetMetrics
{LastResetType}",NA,/redfish/v1/TelemetryService/MetricReports/HGX_ProcessorResetMetrics_0,NA,,,NA,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,,,10 Sec,,"2025.1
/redfish/v1/Systems/{SYSTEM_NAME}_{InstanceId}/Processors/{GPU_PROC_NAME}_{InstanceId}/Oem/Nvidia/ProcessorResetMetrics
{LastResetType}","2025.1
/redfish/v1/Systems/$SystemId/Processors/$ProcessorId/Oem/Nvidia/ProcessorResetMetrics
{LastResetType}","{SystemId:{SystemType: Physical}, ProcessorId: {ProcessorType: GPU}}",GPU,,,QS NVOEM,,,,nvoem,L1,NA
,,,GPU MCU/SMA Firmware version,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/UpdateService/FirmwareInventory/HGX_FW_SXM_SMA_{InstanceId}
{Version}","2025.0a
/redfish/v1/UpdateService/FirmwareInventory/{GPU_SMA_FW_NAME}_{InstanceId}
{Version}",NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/UpdateService/FirmwareInventory/{GPU_SMA_FW_NAME}_{InstanceId}
{Version}","2025.0a
/redfish/v1/UpdateService/FirmwareInventory/$FwId
{Version}","{FwId: {Id_contains: {allOf: [SMA], anyOf: [GPU, SXM]}}}",GPU-SXM-MCU,,,ES,,,,L0,L1,NA
,,,GPU MCU/SMA UUID,,,"NSM: (0x03, 0x0C)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_SXM_SMA_{InstanceId}
{UUID}","2025.0a
/redfish/v1/Chassis/{GPU_SMA_NAME}_{InstanceId}
{UUID}",NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_NAME}_{InstanceId}
{UUID}","2025.0a
/redfish/v1/Chassis/$ChassisId
{UUID}","{ChassisId: {Id_contains: {allOf: [SXM, SMA], not: [RoT]}}}",GPU-SXM-MCU,,,ES,,,,L0,L1,NA
,,,Current temperature of MCU/SMA,,,"NSM: (0x3, 0x3)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_SXM_SMA_{InstanceId}/Sensors/HGX_SXM_SMA_{InstanceId}_Temp_0
{Reading}","2025.0a
/redfish/v1/Chassis/{GPU_SMA_NAME}_{InstanceId}/Sensors/{GPU_SMA_NAME}_{InstanceId}_Temp_0
{Reading}",NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,10 Sec,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_NAME}_{InstanceId}/Sensors/{GPU_SMA_NAME}_{InstanceId}_Temp_0
{Reading}","2025.0a
/redfish/v1/Chassis/$ChassisId/Sensors/$SensorId
{Reading}","{ChassisId: {Id_contains: {allOf: [SXM, SMA], not: [RoT]}}, SensorId: {ReadingType: Temperature}}",GPU-SXM-MCU,,Y,QS,,,,L1,L1,NA
,,,GPU MCU/SMA SKU,,,"NSM: (0x03, 0x0C)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_GPU_SXM_{InstanceId}
{SKU}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_NAME}_{InstanceId}
{SKU}","2025.0a
/redfish/v1/Chassis/$ChassisId
{SKU}","{ChassisId: {Id_contains: {allOf: [SXM, SMA], not: [RoT]}}}",,,,ES,,,,L0,L1,NA
,,,GPU MCU/SMA RoT Boot Status code Information,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{BootStatusCode}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,10 Sec,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{BootStatusCode}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{BootStatusCode}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,Y,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Active Slot Id,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{ActiveSlotId}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,10 Sec,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{ActiveSlotId}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{ActiveSlotId}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Active Keyset Identifier,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{ActiveKeySetIdentifier}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,10 Sec,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{ActiveKeySetIdentifier}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{ActiveKeySetIdentifier}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT minimum security version,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{MinimumSecurityVersion}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{MinimumSecurityVersion}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{MinimumSecurityVersion}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Slot ID,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{SlotId}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{SlotId}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{SlotId}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Version,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{Version}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{Version}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{Version}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,Y,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Firmware Comparison Number,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{FirmwareComparisonNumber}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{FirmwareComparisonNumber}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{FirmwareComparisonNumber}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Build Type,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{BuildType}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{BuildType}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{BuildType}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Firmware State,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{FirmwareState}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{FirmwareState}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{FirmwareState}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Signing Type,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{SigningType}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{SigningType}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{SigningType}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image FSigning Key Index,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{SigningKeyIndex}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{SigningKeyIndex}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{SigningKeyIndex}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Security Version,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{SecurityVersion}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{SecurityVersion}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{SecurityVersion}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,Y,QS,,,,L1,L1,NA
,,,GPU MCU/SMA RoT Image Write Protected Status,,,"NSM: (0x06, 0x01)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{WriteProtected}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{WriteProtected}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{WriteProtected}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,Query/disable/enable irreversible config,,,"NSM: (0x06, 0x02)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}
{IrreversibleConfigEnabled}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}
{IrreversibleConfigEnabled}","2025.0a
/redfish/v1/Chassis/$ChassisId
{IrreversibleConfigEnabled}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}}",,,,QS,,,,L1,L1,NA
,,,Query FW Code Authentication Key,,,"NSM: (0x06, 0x03)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{AllowedKeyIndices}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{AllowedKeyIndices}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{AllowedKeyIndices}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,Query FW Code Authentication Key,,,"NSM: (0x06, 0x03)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}
{RevokedKeyIndices}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}
{RevokedKeyIndices}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId
{RevokedKeyIndices}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}}",,,,QS,,,,L1,L1,NA
,,,Query FW Code Authentication Key,,,"NSM: (0x06, 0x03)",NA,NA,NA,"2025.0a
/redfish/v1/Chassis/HGX_IRoT_SXM_SMA_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/SXM_SMA_{InstanceId}/ImageSlots/{InstanceId}
{AllowedKeyIndices}",,NA,NA,NA,,,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Available OOB,No,No Impact,1 Hr,,"2025.0a
/redfish/v1/Chassis/{GPU_SMA_IRoT_NAME}_{InstanceId}/Oem/NvidiaRoT/RoTProtectedComponents/{GPU_SMA_COMP_NAME}_{InstanceId}/ImageSlots/{InstanceId}
{AllowedKeyIndices}","2025.0a
/redfish/v1/Chassis/$ChassisId/Oem/NvidiaRoT/RoTProtectedComponents/$ComponentId/ImageSlots/$ImageId
{AllowedKeyIndices}","{ChassisId:{Id_contains: {allOf: [SXM, SMA, RoT]}}, ComponentId: {Id: all}, ImageId: {Id: all}}",,,,QS,,,,L1,L1,NA
